retriever,reranker,zoom,linearization,metadata,Accuracy@1,Accuracy@3,Accuracy@10,Accuracy@100,llm_cost (ct)
BM25Retriever,NoReranker,NoZoom,Linearization.CSV,not-separate,0.37,0.64,0.86,1.0,0.0
BM25Retriever,NoReranker,NoZoom,Linearization.CSV,separate,0.4,0.71,0.9,1.0,0.0
