retriever,reranker,zoom,linearization,template,Accuracy@1,Accuracy@3,Accuracy@10,Accuracy@100,llm_cost (ct)
BM25Retriever,NoReranker,NoZoom,Linearization.CSV,,0.26,0.45,0.63,0.84,0.0
BM25Retriever,NoReranker,NoZoom,Linearization.JSON,,0.24,0.44,0.62,0.83,0.0
BM25Retriever,NoReranker,RowBasedZoom,Linearization.CSV,,0.3,0.62,0.72,0.84,0.6
BM25Retriever,QueryBasedReranker,NoZoom,Linearization.CSV,,0.33,0.49,0.63,0.84,0.31
SBERTRetriever,NoReranker,NoZoom,Linearization.CSV,,0.34,0.53,0.72,0.93,0.0
SBERTRetriever,NoReranker,NoZoom,Linearization.JSON,,0.04,0.05,0.07,0.26,0.0
SBERTRetriever,NoReranker,RowBasedZoom,Linearization.CSV,,0.37,0.69,0.8,0.93,0.41
SBERTRetriever,QueryBasedReranker,NoZoom,Linearization.CSV,,0.37,0.54,0.72,0.93,0.28
